kind,model,feature,supported,tested,status
asr,moonshine_small,native_streaming,True,True,
asr,moonshine_small,partial_transcripts,True,True,
asr,moonshine_small,timestamps,True,True,
asr,moonshine_small,punctuation,False,False,
asr,moonshine_small,capitalization,False,False,
asr,moonshine_small,prompting,False,False,
asr,moonshine_small,silero_vad,True,True,
asr,moonshine_medium,native_streaming,True,True,
asr,moonshine_medium,partial_transcripts,True,True,
asr,moonshine_medium,timestamps,True,True,
asr,moonshine_medium,punctuation,False,False,
asr,moonshine_medium,capitalization,False,False,
asr,moonshine_medium,prompting,False,False,
asr,moonshine_medium,silero_vad,True,True,
asr,whisper_small_en,native_streaming,False,False,
asr,whisper_small_en,partial_transcripts,False,False,
asr,whisper_small_en,timestamps,True,True,
asr,whisper_small_en,punctuation,False,False,
asr,whisper_small_en,capitalization,False,False,
asr,whisper_small_en,prompting,True,True,
asr,whisper_small_en,silero_vad,True,True,
asr,parakeet_110m,native_streaming,False,False,
asr,parakeet_110m,partial_transcripts,False,False,
asr,parakeet_110m,timestamps,False,False,
asr,parakeet_110m,punctuation,True,True,
asr,parakeet_110m,capitalization,True,True,
asr,parakeet_110m,prompting,False,False,
asr,parakeet_110m,silero_vad,True,True,
asr,moonshine_base,native_streaming,False,False,
asr,moonshine_base,partial_transcripts,False,False,
asr,moonshine_base,timestamps,True,True,
asr,moonshine_base,punctuation,False,False,
asr,moonshine_base,capitalization,False,False,
asr,moonshine_base,prompting,False,False,
asr,moonshine_base,silero_vad,True,True,
tts,pocket,native_streaming,True,True,ok
tts,pocket,voice_cloning,True,True,gated
tts,pocket,multiple_voices,True,True,ok
tts,pocket,speed,False,False,
tts,pocket,paralinguistic_tags,False,False,
tts,pocket,pronunciation_control,False,False,
tts,pocket,text_normalization,False,False,
tts,pocket,noise_control,False,False,
tts,pocket,phoneme_width,False,False,
tts,pocket,browser,False,False,
tts,kokoro,native_streaming,False,False,
tts,kokoro,voice_cloning,False,False,
tts,kokoro,multiple_voices,True,True,ok
tts,kokoro,speed,True,True,ok
tts,kokoro,paralinguistic_tags,False,False,
tts,kokoro,pronunciation_control,True,True,ok
tts,kokoro,text_normalization,False,False,
tts,kokoro,noise_control,False,False,
tts,kokoro,phoneme_width,False,False,
tts,kokoro,browser,False,False,
tts,chatterbox,native_streaming,False,False,
tts,chatterbox,voice_cloning,True,True,ok
tts,chatterbox,multiple_voices,False,False,
tts,chatterbox,speed,False,False,
tts,chatterbox,paralinguistic_tags,True,True,ok
tts,chatterbox,pronunciation_control,False,False,
tts,chatterbox,text_normalization,False,False,
tts,chatterbox,noise_control,False,False,
tts,chatterbox,phoneme_width,False,False,
tts,chatterbox,browser,False,False,
tts,kitten,native_streaming,False,False,
tts,kitten,voice_cloning,False,False,
tts,kitten,multiple_voices,True,True,ok
tts,kitten,speed,True,True,ok
tts,kitten,paralinguistic_tags,False,False,
tts,kitten,pronunciation_control,False,False,
tts,kitten,text_normalization,True,True,ok
tts,kitten,noise_control,False,False,
tts,kitten,phoneme_width,False,False,
tts,kitten,browser,False,False,
tts,piper,native_streaming,True,True,ok
tts,piper,voice_cloning,False,False,
tts,piper,multiple_voices,False,False,
tts,piper,speed,True,True,ok
tts,piper,paralinguistic_tags,False,False,
tts,piper,pronunciation_control,False,False,
tts,piper,text_normalization,False,False,
tts,piper,noise_control,True,True,ok
tts,piper,phoneme_width,True,True,ok
tts,piper,browser,False,False,
